feature,summary,sample,x,y,sample_text
1369,"Industrial History, Energy Sources, Reclamation/Reuse","""Catherine Furnace is an unincorporated community in Page County, in the U.S. state of Virginia.""",9.0615225,5.0470705,"Catherine Furnace is an unincorporated community in Page County, in the U.S. state of Virginia."
1370,"People, Places, Names (of Norwegian, Italian, American, and German origin)","""Berget was born in Oslo.""",9.799745,8.622966,Berget was born in Oslo.
1371,Substrate Materials and Interactions,"""The cause is the mismatch of temperature of the different transistors on the substrate.""",8.949705,5.5928493,The cause is the mismatch of temperature of the different transistors on the substrate.
1372,Resident Populations and Demographics,"""As of the 2010 census the population was 525 residents.""",6.855229,1.2902772,As of the 2010 census the population was 525 residents.
1373,Individuals named Jean (or variants) in various fields,"""Habel Creek has the name of Jean Habel, a pioneer citizen.""",13.447191,7.772815,"Habel Creek has the name of Jean Habel, a pioneer citizen."
1374,"Prominent, Global, Political Figures, Organizational Roles","""He is a member of the Bilderberg Group and administrator of EuropaNova.""",12.10142,3.0081198,He is a member of the Bilderberg Group and administrator of EuropaNova.
1375,"Given names and naming practices, cross-culturally.","""Robyn is a given name.""",8.453597,0.5802116,Robyn is a given name.
1376,"Armed Forces, Locations, United States","""A second event was a worship service held at the main gate to Arlington National Cemetery.""",11.475338,7.0158978,A second event was a worship service held at the main gate to Arlington National Cemetery.
1377,International Women's Sports Teams and Competitions,"""The Women's Baseball World Cup is an international tournament in which national women's baseball teams from around the world compete.""",7.8882847,-0.15785462,The Women's Baseball World Cup is an international tournament in which national women's baseball teams from around the world compete.
1378,"Year of Release, Publication, Geographical Locations","""The album was also released in 2011 on Knitting Factory Records.""",13.221067,7.7345333,The album was also released in 2011 on Knitting Factory Records.
1379,"Locations specified, various neighborhoods/areas","""It is located at 3575 Main Highway.""",7.090265,3.997842,It is located at 3575 Main Highway.
1380,"Supporting Roles/Characters, General Support, Financial/Logistical Support","""Initial management consists of general supportive care.""",10.093598,3.223858,Initial management consists of general supportive care.
1381,Ghanaian or Kenyan Context,"""Kenya won the match by 24 runs.""",11.798511,6.36155,Kenya won the match by 24 runs.
1382,"Transportation Devices and Accessories, Medical Equipment, Dangerous Items","""The trolley has reversible seats, as it cannot turn around.""",8.5065775,4.8011866,"The trolley has reversible seats, as it cannot turn around."
1383,"Activities, Competitions, Stretching","""Prevention may include stretching before activity.""",9.027915,6.5355453,Prevention may include stretching before activity.
1384,"Winning Medals/Titles, Competitive Achievements, Sports Victories","""The newspaper has won four Pulitzer Prizes.""",13.097558,2.5470228,The newspaper has won four Pulitzer Prizes.
1385,"Historical, Geographical, Varied Entities (Names)","""The Acadians arrived in 1750.""",11.40148,7.229567,The Acadians arrived in 1750.
1386,"Cut, Production, Variation (or Modification)","""It is also known as the blade cut or London cut.""",9.838114,5.9209633,It is also known as the blade cut or London cut.
1387,"Celebrities, Political Events, Barack Obama Connection","""It stars George Segal.""",9.890123,0.5006423,It stars George Segal.
1388,"Zombie-related themes: Zombies, Apocalypse, Survival","""Players assume the role of zombies attempting to rob a speeding train full of brains.""",11.036559,3.3955214,Players assume the role of zombies attempting to rob a speeding train full of brains.
1389,Habitat Variety in Terrestrial and Aquatic Environments,"""The habitat consists of grassy woodland.""",7.942197,4.953917,The habitat consists of grassy woodland.
1390,"Composition, Structure, Elemental Makeup","""It was composed in a primarily atonal style.""",8.262831,2.7873511,It was composed in a primarily atonal style.
1391,Closures and Endings,"""It closed in June 2014.""",11.485261,1.5250653,It closed in June 2014.
1392,Individuals or entities named Russell,"""Russell was shot in the arm during the attack.""",10.654808,6.414608,Russell was shot in the arm during the attack.
1393,"Home Locations, Entertainment Figures, Geographical Entities","""Their home stadium is San Felipe Football Field.""",8.808823,1.0640035,Their home stadium is San Felipe Football Field.
1394,"Horses, Racing, Equestrian Industry","""The horse industry, or equine industry, is the economic activity associated with horses.""",12.649848,4.930918,"The horse industry, or equine industry, is the economic activity associated with horses."
1395,"Bus, Transportation, Services","""Maritime-wide bus service is provided by Maritime Bus.""",6.6979375,4.858447,Maritime-wide bus service is provided by Maritime Bus.
1396,"Television Series, Film Adaptations, Multinational Productions","""Das Geheimnis meines Vaters (The Secret of My Father) is a German television series.""",10.671576,-0.10037146,Das Geheimnis meines Vaters (The Secret of My Father) is a German television series.
1397,Releases Dates (Various Years),"""It was released in June 1977.""",11.7844305,-0.4822612,It was released in June 1977.
1398,"Organizations or entities operate these facilities (casino, school, station, etc.)","""The casino is operated by Star Entertainment Group.""",10.47496,1.7810694,The casino is operated by Star Entertainment Group.
1399,"People, Singing, Entertainment","""In the evening, to entertain themselves they sang.""",9.698053,-0.5170739,"In the evening, to entertain themselves they sang."
1400,"Specialization in Specific Fields, Etymology, Geographical Research","""Reviews Urology is a peer-reviewed medical journal covering all aspects of urology.""",9.371859,5.0581236,Reviews Urology is a peer-reviewed medical journal covering all aspects of urology.
1401,"Iraq, Historical Events, Political and Cultural Landscape","""He has been an Ambassador for the Iraqi government since October 2009.""",11.428861,8.130443,He has been an Ambassador for the Iraqi government since October 2009.
1402,Discontinued Entities,"""It was discontinued due to poor ratings.""",11.430167,1.5614485,It was discontinued due to poor ratings.
1403,"Ranked Positions, Athletic Achievements, List Rankings","""She placed 28th overall.""",9.896008,-1.2055929,She placed 28th overall.
1404,Geographical Locations and People,"""Rae Anderson is a former Australian professional squash player.""",10.324522,7.582418,Rae Anderson is a former Australian professional squash player.
1405,Governmental Roles and Succession,"""The Governorship was abolished in 1842.""",12.81998,3.4438856,The Governorship was abolished in 1842.
1406,"Individuals, Locations, Professionals (Actors, Historians, Athletes, Politicians, Musicians, Winemakers, Athletes, etc.), Places (San Antonio, San Pedro Sula, Puerto Rico, Bolivia, etc.)","""Philippe Bas (born 31 October 1973) is a French actor.""",11.271213,7.320956,Philippe Bas (born 31 October 1973) is a French actor.
1407,"Steam, Diesel, Electric Locomotives/Trains","""The Great Central Railway 9K and 9L classes were two related classes of 4-4-2T Atlantic steam locomotives.""",6.425227,4.7168875,The Great Central Railway 9K and 9L classes were two related classes of 4-4-2T Atlantic steam locomotives.
1408,"""Four Hundred Series/Events/Years""","""The X4 were released in Spring 2013.""",14.479846,6.2364078,The X4 were released in Spring 2013.
1409,"International, Diverse Professionals","""Geoffrey Maloney is an Australian writer of speculative short fiction.""",12.883764,7.0556974,Geoffrey Maloney is an Australian writer of speculative short fiction.
1410,"Locations named ""Flint"", People associated with ""Flint""","""Banks lives near Flint, Michigan.""",9.821627,5.976154,"Banks lives near Flint, Michigan."
1411,Military Conflicts and Territorial Control,"""The Dutch prevented the Spanish army from dividing the Dutch United Provinces in two.""",11.1675005,3.4795313,The Dutch prevented the Spanish army from dividing the Dutch United Provinces in two.
1412,"Women in diverse fields, exploring creativity and scholarship.","""Her research and teaching focused on constitutional and administrative law.""",8.464086,-0.5123407,Her research and teaching focused on constitutional and administrative law.
1413,"Connectors, Controllers, Uses","""These connectors are also used for connecting Triaxial cable.""",8.659503,3.08705,These connectors are also used for connecting Triaxial cable.
1414,"Locations, Geographical Features, Sites","""It is one of several similarly named streams in Wales.""",7.245959,3.8700597,It is one of several similarly named streams in Wales.
1415,"Geographical Transitions, Establishments, and Disseminations","""Local transfers had to be completed the day before the first match in the league.""",9.336372,1.8643157,Local transfers had to be completed the day before the first match in the league.
1416,"Organisms and Habitats, Actions and Principles, Natural and Man-made Environments","""It does not appear to tolerate soils high in calcium.""",7.719057,4.0362897,It does not appear to tolerate soils high in calcium.
1417,"Passing strategies in sports, specifically American and Australian football","""He completed 68 percent of pass attempts.""",13.261833,4.2701483,He completed 68 percent of pass attempts.
1418,"Infants and Childcare, Medical Concerns, Representations of Infancy","""He also starred in October Baby.""",14.60655,4.033013,He also starred in October Baby.
